0,0,0,0,0,0,0,0,1,1,NoneA
0,0,0,0,1,1,0,0,2,1,NoneB
0,0,0,0,1,2,0,0,3,2,NoneC
0,0,0,0,1,3,0,0,4,3,NoneD
0,0,0,0,1,4,0,0,5,4,NoneE
0,0,0,0,1,5,0,0,6,5,NoneF
0,0,0,0,1,6,0,0,7,6,NoneG
0,0,0,0,1,7,0,0,8,7,NoneH
0,0,0,0,1,8,0,0,9,8,NoneI
0,0,0,0,1,9,0,0,4,9,NoneD
0,1,0,0,1,0,0,0,10,1,None1Bet
5,0,0,0,0,1,0,1,27,1,MelonMiddle
5,0,0,0,0,2,0,2,26,2,MelonUpper
5,0,0,0,0,3,0,3,28,3,MelonLower
5,0,0,0,0,4,0,4,29,4,MelonDiagonal
5,0,0,0,0,5,0,5,29,5,MelonDiagonal
5,0,0,0,1,6,0,6,29,6,MelonDiagonal
6,0,0,0,0,1,0,1,31,1,BellMiddle
6,0,0,0,0,2,0,2,30,2,BellUpper
6,0,0,0,0,3,0,3,32,3,BellLower
6,0,0,0,0,4,0,4,31,4,BellMiddle
6,0,0,0,0,5,0,5,31,5,BellMiddle
7,0,0,0,0,0,0,0,35,1,ReplayLower
7,1,0,0,0,0,0,0,34,1,ReplayMiddle
7,0,0,0,1,1,0,0,34,1,ReplayMiddle
7,0,0,0,1,2,0,0,33,2,ReplayUpper
7,0,0,0,1,3,0,0,35,3,ReplayLower
7,0,0,0,1,4,0,0,35,4,ReplayLower
7,0,0,0,1,5,0,0,34,5,ReplayMiddle
7,0,0,0,1,6,0,0,34,6,ReplayMiddle
7,1,0,0,1,0,0,0,34,1,ReplayMiddle
8,0,0,0,0,0,0,0,34,1,ReplayMiddle
