0,0,0,0,ANY,1,1,NoneA
5,0,0,0,ANY,26,2,MelonUpper
5,0,0,4,ANY,28,3,MelonLower
5,0,0,5,ANY,28,3,MelonLower
5,0,0,6,ANY,28,3,MelonLower
5,1,0,0,ANY,27,1,MelonMiddle
5,3,0,1,ANY,29,4,MelonDiagonal
5,3,0,2,ANY,29,4,MelonDiagonal
5,3,0,4,ANY,29,5,MelonDiagonal
5,3,0,5,ANY,29,5,MelonDiagonal
6,0,0,0,ANY,31,1,BellMiddle
6,0,0,3,ANY,30,2,BellUpper
6,0,0,4,ANY,30,2,BellUpper
6,0,0,5,ANY,32,3,BellLower
6,0,0,6,ANY,32,3,BellLower
6,1,0,0,ANY,31,1,BellMiddle
6,3,0,4,ANY,31,4,BellMiddle
6,3,0,5,ANY,31,4,BellMiddle
6,3,0,6,ANY,31,5,BellMiddle
7,0,0,0,ANY,35,1,ReplayLower
7,1,0,0,ANY,34,1,ReplayMiddle
8,0,0,0,ANY,34,1,ReplayMiddle
