0,0,0,0,0,0,ANY,1,1,NoneA
0,0,0,0,1,1,ANY,2,1,NoneB
0,0,0,0,1,2,ANY,3,2,NoneC
0,0,0,0,1,3,ANY,4,3,NoneD
0,0,0,0,1,4,ANY,5,4,NoneE
0,0,0,0,1,5,ANY,6,5,NoneF
0,0,0,0,1,6,ANY,7,6,NoneG
0,0,0,0,1,7,ANY,8,7,NoneH
0,0,0,0,1,8,ANY,9,8,NoneI
0,0,0,0,1,9,ANY,4,9,NoneD
0,1,0,0,1,0,ANY,10,1,None1Bet
2,0,0,0,0,1,ANY,15,1,RegUpper
2,0,0,0,0,2,ANY,17,2,RegLower
2,0,0,0,0,3,ANY,16,3,RegMiddle
2,1,0,0,0,1,ANY,16,1,RegMiddle
3,0,0,0,0,0,ANY,1,1,NoneA
4,0,0,0,0,0,ANY,1,1,NoneA
4,3,0,0,0,0,ANY,28,1,MelonLower
5,0,0,0,0,1,ANY,27,1,MelonMiddle
5,0,0,0,0,2,ANY,26,2,MelonUpper
5,0,0,0,0,3,ANY,28,3,MelonLower
5,0,0,0,0,4,ANY,29,4,MelonDiagonal
5,0,0,0,0,5,ANY,29,5,MelonDiagonal
5,0,0,0,1,6,ANY,29,6,MelonDiagonal
6,0,0,0,0,1,ANY,31,1,BellMiddle
6,0,0,0,0,2,ANY,30,2,BellUpper
6,0,0,0,0,3,ANY,32,3,BellLower
6,0,0,0,0,4,ANY,31,4,BellMiddle
6,0,0,0,0,5,ANY,31,5,BellMiddle
7,0,0,0,0,0,ANY,35,1,ReplayLower
7,1,0,0,0,0,ANY,34,1,ReplayMiddle
7,0,0,0,1,1,ANY,34,1,ReplayMiddle
7,0,0,0,1,2,ANY,33,2,ReplayUpper
7,0,0,0,1,3,ANY,35,3,ReplayLower
7,0,0,0,1,4,ANY,35,4,ReplayLower
7,0,0,0,1,5,ANY,34,5,ReplayMiddle
7,0,0,0,1,6,ANY,34,6,ReplayMiddle
7,1,0,0,1,0,ANY,34,1,ReplayMiddle
8,0,0,0,0,0,ANY,34,1,ReplayMiddle
